Country,Country_Code,2019
Argentina,ARG,44938712
Belize,BLZ,390353
Bolivia,BOL,11513100
Brazil,BRA,211049527
Chile,CHL,18952038
Colombia,COL,50339443
Costa Rica,CRI,5047561
Cuba,CUB,11333483
Dominican Republic,DOM,10738958
Ecuador,ECU,17373662
El Salvador,SLV,6453553
Guatemala,GTM,16604026
Guyana,GUY,782766
Haiti,HTI,11263077
Honduras,HND,9746117
Mexico,MEX,127575529
Nicaragua,NIC,6545502
Panama,PAN,4246439
Paraguay,PRY,7044636
Peru,PER,32510453
Suriname,SUR,581372
Trinidad and Tobago,TTO,1394973
Uruguay,URY,3461734
Venezuela,VEN,28515829